# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
super 20|Content que ca te plaise!
genial 20|Oui, c est une bonne nouvelle!
s il te plait 21|Bien sur.
merci beaucoup 21|Avec grand plaisir!
excuse-moi 21|Il n y a pas de mal.
pardon 21|Ce n est pas grave.
bonne journee 21|Bonne journee a toi aussi!
bon courage 21|Merci, bon courage a toi egalement!
felicitations 21|Merci beaucoup!
bravo 21|Merci, c est gentil.
super 21|Content que ca te plaise!
genial 21|Oui, c est une bonne nouvelle!
s il te plait 22|Bien sur.
merci beaucoup 22|Avec grand plaisir!
excuse-moi 22|Il n y a pas de mal.
pardon 22|Ce n est pas grave.
bonne journee 22|Bonne journee a toi aussi!
bon courage 22|Merci, bon courage a toi egalement!
felicitations 22|Merci beaucoup!
bravo 22|Merci, c est gentil.
super 22|Content que ca te plaise!
genial 22|Oui, c est une bonne nouvelle!
s il te plait 23|Bien sur.
merci beaucoup 23|Avec grand plaisir!
excuse-moi 23|Il n y a pas de mal.
pardon 23|Ce n est pas grave.
bonne journee 23|Bonne journee a toi aussi!
bon courage 23|Merci, bon courage a toi egalement!
felicitations 23|Merci beaucoup!
bravo 23|Merci, c est gentil.
super 23|Content que ca te plaise!
genial 23|Oui, c est une bonne nouvelle!
s il te plait 24|Bien sur.
merci beaucoup 24|Avec grand plaisir!
excuse-moi 24|Il n y a pas de mal.
pardon 24|Ce n est pas grave.
bonne journee 24|Bonne journee a toi aussi!
bon courage 24|Merci, bon courage a toi egalement!
felicitations 24|Merci beaucoup!
bravo 24|Merci, c est gentil.
super 24|Content que ca te plaise!
genial 24|Oui, c est une bonne nouvelle!
s il te plait 25|Bien sur.
merci beaucoup 25|Avec grand plaisir!
excuse-moi 25|Il n y a pas de mal.
pardon 25|Ce n est pas grave.
bonne journee 25|Bonne journee a toi aussi!
bon courage 25|Merci, bon courage a toi egalement!
felicitations 25|Merci beaucoup!
bravo 25|Merci, c est gentil.
super 25|Content que ca te plaise!
genial 25|Oui, c est une bonne nouvelle!
s il te plait 26|Bien sur.
merci beaucoup 26|Avec grand plaisir!
excuse-moi 26|Il n y a pas de mal.
pardon 26|Ce n est pas grave.
bonne journee 26|Bonne journee a toi aussi!
bon courage 26|Merci, bon courage a toi egalement!
felicitations 26|Merci beaucoup!
bravo 26|Merci, c est gentil.
super 26|Content que ca te plaise!
genial 26|Oui, c est une bonne nouvelle!
s il te plait 27|Bien sur.
merci beaucoup 27|Avec grand plaisir!
excuse-moi 27|Il n y a pas de mal.
pardon 27|Ce n est pas grave.
bonne journee 27|Bonne journee a toi aussi!
bon courage 27|Merci, bon courage a toi egalement!
felicitations 27|Merci beaucoup!
bravo 27|Merci, c est gentil.
super 27|Content que ca te plaise!
genial 27|Oui, c est une bonne nouvelle!
s il te plait 28|Bien sur.
merci beaucoup 28|Avec grand plaisir!
excuse-moi 28|Il n y a pas de mal.
pardon 28|Ce n est pas grave.
bonne journee 28|Bonne journee a toi aussi!
bon courage 28|Merci, bon courage a toi egalement!
felicitations 28|Merci beaucoup!
bravo 28|Merci, c est gentil.
super 28|Content que ca te plaise!
genial 28|Oui, c est une bonne nouvelle!
s il te plait 29|Bien sur.
merci beaucoup 29|Avec grand plaisir!
excuse-moi 29|Il n y a pas de mal.
pardon 29|Ce n est pas grave.
bonne journee 29|Bonne journee a toi aussi!
bon courage 29|Merci, bon courage a toi egalement!
felicitations 29|Merci beaucoup!
bravo 29|Merci, c est gentil.
super 29|Content que ca te plaise!
genial 29|Oui, c est une bonne nouvelle!
s il te plait 30|Bien sur.
merci beaucoup 30|Avec grand plaisir!
excuse-moi 30|Il n y a pas de mal.
pardon 30|Ce n est pas grave.
bonne journee 30|Bonne journee a toi aussi!
bon courage 30|Merci, bon courage a toi egalement!
felicitations 30|Merci beaucoup!
bravo 30|Merci, c est gentil.
super 30|Content que ca te plaise!
genial 30|Oui, c est une bonne nouvelle!
s il te plait 31|Bien sur.
merci beaucoup 31|Avec grand plaisir!
excuse-moi 31|Il n y a pas de mal.
pardon 31|Ce n est pas grave.
bonne journee 31|Bonne journee a toi aussi!
bon courage 31|Merci, bon courage a toi egalement!
felicitations 31|Merci beaucoup!
bravo 31|Merci, c est gentil.
super 31|Content que ca te plaise!
genial 31|Oui, c est une bonne nouvelle!
s il te plait 32|Bien sur.
merci beaucoup 32|Avec grand plaisir!
excuse-moi 32|Il n y a pas de mal.
pardon 32|Ce n est pas grave.
bonne journee 32|Bonne journee a toi aussi!
bon courage 32|Merci, bon courage a toi egalement!
felicitations 32|Merci beaucoup!
bravo 32|Merci, c est gentil.
super 32|Content que ca te plaise!
genial 32|Oui, c est une bonne nouvelle!
s il te plait 33|Bien sur.
merci beaucoup 33|Avec grand plaisir!
excuse-moi 33|Il n y a pas de mal.
pardon 33|Ce n est pas grave.
bonne journee 33|Bonne journee a toi aussi!
bon courage 33|Merci, bon courage a toi egalement!
felicitations 33|Merci beaucoup!
bravo 33|Merci, c est gentil.
super 33|Content que ca te plaise!
genial 33|Oui, c est une bonne nouvelle!
s il te plait 34|Bien sur.
merci beaucoup 34|Avec grand plaisir!
excuse-moi 34|Il n y a pas de mal.
pardon 34|Ce n est pas grave.
bonne journee 34|Bonne journee a toi aussi!
bon courage 34|Merci, bon courage a toi egalement!
felicitations 34|Merci beaucoup!
bravo 34|Merci, c est gentil.
super 34|Content que ca te plaise!
genial 34|Oui, c est une bonne nouvelle!
s il te plait 35|Bien sur.
merci beaucoup 35|Avec grand plaisir!
excuse-moi 35|Il n y a pas de mal.
pardon 35|Ce n est pas grave.
bonne journee 35|Bonne journee a toi aussi!
bon courage 35|Merci, bon courage a toi egalement!
felicitations 35|Merci beaucoup!
bravo 35|Merci, c est gentil.
super 35|Content que ca te plaise!
genial 35|Oui, c est une bonne nouvelle!
s il te plait 36|Bien sur.
merci beaucoup 36|Avec grand plaisir!
excuse-moi 36|Il n y a pas de mal.
pardon 36|Ce n est pas grave.
bonne journee 36|Bonne journee a toi aussi!
bon courage 36|Merci, bon courage a toi egalement!
felicitations 36|Merci beaucoup!
bravo 36|Merci, c est gentil.
super 36|Content que ca te plaise!
genial 36|Oui, c est une bonne nouvelle!
s il te plait 37|Bien sur.
merci beaucoup 37|Avec grand plaisir!
excuse-moi 37|Il n y a pas de mal.
pardon 37|Ce n est pas grave.
bonne journee 37|Bonne journee a toi aussi!
bon courage 37|Merci, bon courage a toi egalement!
felicitations 37|Merci beaucoup!
bravo 37|Merci, c est gentil.
super 37|Content que ca te plaise!
genial 37|Oui, c est une bonne nouvelle!
s il te plait 38|Bien sur.
merci beaucoup 38|Avec grand plaisir!
excuse-moi 38|Il n y a pas de mal.
pardon 38|Ce n est pas grave.
bonne journee 38|Bonne journee a toi aussi!
bon courage 38|Merci, bon courage a toi egalement!
felicitations 38|Merci beaucoup!
bravo 38|Merci, c est gentil.
super 38|Content que ca te plaise!
genial 38|Oui, c est une bonne nouvelle!
s il te plait 39|Bien sur.
merci beaucoup 39|Avec grand plaisir!
excuse-moi 39|Il n y a pas de mal.
pardon 39|Ce n est pas grave.
bonne journee 39|Bonne journee a toi aussi!
bon courage 39|Merci, bon courage a toi egalement!
felicitations 39|Merci beaucoup!
bravo 39|Merci, c est gentil.
super 39|Content que ca te plaise!
genial 39|Oui, c est une bonne nouvelle!
s il te plait 40|Bien sur.
merci beaucoup 40|Avec grand plaisir!
excuse-moi 40|Il n y a pas de mal.
pardon 40|Ce n est pas grave.
bonne journee 40|Bonne journee a toi aussi!
bon courage 40|Merci, bon courage a toi egalement!
felicitations 40|Merci beaucoup!
bravo 40|Merci, c est gentil.
super 40|Content que ca te plaise!
genial 40|Oui, c est une bonne nouvelle!
s il te plait 41|Bien sur.
merci beaucoup 41|Avec grand plaisir!
excuse-moi 41|Il n y a pas de mal.
pardon 41|Ce n est pas grave.
bonne journee 41|Bonne journee a toi aussi!
bon courage 41|Merci, bon courage a toi egalement!
felicitations 41|Merci beaucoup!
bravo 41|Merci, c est gentil.
super 41|Content que ca te plaise!
genial 41|Oui, c est une bonne nouvelle!
s il te plait 42|Bien sur.
merci beaucoup 42|Avec grand plaisir!
excuse-moi 42|Il n y a pas de mal.
pardon 42|Ce n est pas grave.
bonne journee 42|Bonne journee a toi aussi!
bon courage 42|Merci, bon courage a toi egalement!
felicitations 42|Merci beaucoup!
bravo 42|Merci, c est gentil.
super 42|Content que ca te plaise!
genial 42|Oui, c est une bonne nouvelle!
s il te plait 43|Bien sur.
merci beaucoup 43|Avec grand plaisir!
excuse-moi 43|Il n y a pas de mal.
pardon 43|Ce n est pas grave.
bonne journee 43|Bonne journee a toi aussi!
bon courage 43|Merci, bon courage a toi egalement!
felicitations 43|Merci beaucoup!
bravo 43|Merci, c est gentil.
super 43|Content que ca te plaise!
genial 43|Oui, c est une bonne nouvelle!
s il te plait 44|Bien sur.
merci beaucoup 44|Avec grand plaisir!
excuse-moi 44|Il n y a pas de mal.
pardon 44|Ce n est pas grave.
bonne journee 44|Bonne journee a toi aussi!
bon courage 44|Merci, bon courage a toi egalement!
felicitations 44|Merci beaucoup!
bravo 44|Merci, c est gentil.
super 44|Content que ca te plaise!
genial 44|Oui, c est une bonne nouvelle!
s il te plait 45|Bien sur.
merci beaucoup 45|Avec grand plaisir!
excuse-moi 45|Il n y a pas de mal.
pardon 45|Ce n est pas grave.
bonne journee 45|Bonne journee a toi aussi!
bon courage 45|Merci, bon courage a toi egalement!
felicitations 45|Merci beaucoup!
bravo 45|Merci, c est gentil.
super 45|Content que ca te plaise!
genial 45|Oui, c est une bonne nouvelle!
s il te plait 46|Bien sur.
merci beaucoup 46|Avec grand plaisir!
excuse-moi 46|Il n y a pas de mal.
pardon 46|Ce n est pas grave.
bonne journee 46|Bonne journee a toi aussi!
bon courage 46|Merci, bon courage a toi egalement!
felicitations 46|Merci beaucoup!
bravo 46|Merci, c est gentil.
super 46|Content que ca te plaise!
genial 46|Oui, c est une bonne nouvelle!
s il te plait 47|Bien sur.
merci beaucoup 47|Avec grand plaisir!
excuse-moi 47|Il n y a pas de mal.
pardon 47|Ce n est pas grave.
bonne journee 47|Bonne journee a toi aussi!
bon courage 47|Merci, bon courage a toi egalement!
felicitations 47|Merci beaucoup!
bravo 47|Merci, c est gentil.
super 47|Content que ca te plaise!
genial 47|Oui, c est une bonne nouvelle!
s il te plait 48|Bien sur.
merci beaucoup 48|Avec grand plaisir!
excuse-moi 48|Il n y a pas de mal.
pardon 48|Ce n est pas grave.
bonne journee 48|Bonne journee a toi aussi!
bon courage 48|Merci, bon courage a toi egalement!
felicitations 48|Merci beaucoup!
bravo 48|Merci, c est gentil.
super 48|Content que ca te plaise!
genial 48|Oui, c est une bonne nouvelle!
s il te plait 49|Bien sur.
merci beaucoup 49|Avec grand plaisir!
excuse-moi 49|Il n y a pas de mal.
pardon 49|Ce n est pas grave.
bonne journee 49|Bonne journee a toi aussi!
bon courage 49|Merci, bon courage a toi egalement!
felicitations 49|Merci beaucoup!
bravo 49|Merci, c est gentil.
super 49|Content que ca te plaise!
genial 49|Oui, c est une bonne nouvelle!
s il te plait 50|Bien sur.
merci beaucoup 50|Avec grand plaisir!
excuse-moi 50|Il n y a pas de mal.
pardon 50|Ce n est pas grave.
bonne journee 50|Bonne journee a toi aussi!
bon courage 50|Merci, bon courage a toi egalement!
felicitations 50|Merci beaucoup!
bravo 50|Merci, c est gentil.
super 50|Content que ca te plaise!
genial 50|Oui, c est une bonne nouvelle!
s il te plait 51|Bien sur.
merci beaucoup 51|Avec grand plaisir!
excuse-moi 51|Il n y a pas de mal.
pardon 51|Ce n est pas grave.
bonne journee 51|Bonne journee a toi aussi!
bon courage 51|Merci, bon courage a toi egalement!
felicitations 51|Merci beaucoup!
bravo 51|Merci, c est gentil.
super 51|Content que ca te plaise!
genial 51|Oui, c est une bonne nouvelle!
s il te plait 52|Bien sur.
merci beaucoup 52|Avec grand plaisir!
excuse-moi 52|Il n y a pas de mal.
pardon 52|Ce n est pas grave.
bonne journee 52|Bonne journee a toi aussi!
bon courage 52|Merci, bon courage a toi egalement!
felicitations 52|Merci beaucoup!
bravo 52|Merci, c est gentil.
super 52|Content que ca te plaise!
genial 52|Oui, c est une bonne nouvelle!
s il te plait 53|Bien sur.
merci beaucoup 53|Avec grand plaisir!
excuse-moi 53|Il n y a pas de mal.
pardon 53|Ce n est pas grave.
bonne journee 53|Bonne journee a toi aussi!
bon courage 53|Merci, bon courage a toi egalement!
felicitations 53|Merci beaucoup!
bravo 53|Merci, c est gentil.
super 53|Content que ca te plaise!
genial 53|Oui, c est une bonne nouvelle!
s il te plait 54|Bien sur.
merci beaucoup 54|Avec grand plaisir!
excuse-moi 54|Il n y a pas de mal.
pardon 54|Ce n est pas grave.
bonne journee 54|Bonne journee a toi aussi!
bon courage 54|Merci, bon courage a toi egalement!
felicitations 54|Merci beaucoup!
bravo 54|Merci, c est gentil.
super 54|Content que ca te plaise!
genial 54|Oui, c est une bonne nouvelle!
s il te plait 55|Bien sur.
merci beaucoup 55|Avec grand plaisir!
excuse-moi 55|Il n y a pas de mal.
pardon 55|Ce n est pas grave.
bonne journee 55|Bonne journee a toi aussi!
bon courage 55|Merci, bon courage a toi egalement!
felicitations 55|Merci beaucoup!
bravo 55|Merci, c est gentil.
super 55|Content que ca te plaise!
genial 55|Oui, c est une bonne nouvelle!
s il te plait 56|Bien sur.
merci beaucoup 56|Avec grand plaisir!
excuse-moi 56|Il n y a pas de mal.
pardon 56|Ce n est pas grave.
bonne journee 56|Bonne journee a toi aussi!
bon courage 56|Merci, bon courage a toi egalement!
felicitations 56|Merci beaucoup!
bravo 56|Merci, c est gentil.
super 56|Content que ca te plaise!
genial 56|Oui, c est une bonne nouvelle!
s il te plait 57|Bien sur.
merci beaucoup 57|Avec grand plaisir!
excuse-moi 57|Il n y a pas de mal.
pardon 57|Ce n est pas grave.
bonne journee 57|Bonne journee a toi aussi!
bon courage 57|Merci, bon courage a toi egalement!
felicitations 57|Merci beaucoup!
bravo 57|Merci, c est gentil.
super 57|Content que ca te plaise!
genial 57|Oui, c est une bonne nouvelle!
s il te plait 58|Bien sur.
merci beaucoup 58|Avec grand plaisir!
excuse-moi 58|Il n y a pas de mal.
pardon 58|Ce n est pas grave.
bonne journee 58|Bonne journee a toi aussi!
bon courage 58|Merci, bon courage a toi egalement!
felicitations 58|Merci beaucoup!
bravo 58|Merci, c est gentil.
super 58|Content que ca te plaise!
genial 58|Oui, c est une bonne nouvelle!
s il te plait 59|Bien sur.
merci beaucoup 59|Avec grand plaisir!
excuse-moi 59|Il n y a pas de mal.
pardon 59|Ce n est pas grave.
bonne journee 59|Bonne journee a toi aussi!
bon courage 59|Merci, bon courage a toi egalement!
felicitations 59|Merci beaucoup!
bravo 59|Merci, c est gentil.
super 59|Content que ca te plaise!
genial 59|Oui, c est une bonne nouvelle!
s il te plait 60|Bien sur.
merci beaucoup 60|Avec grand plaisir!
excuse-moi 60|Il n y a pas de mal.
pardon 60|Ce n est pas grave.
bonne journee 60|Bonne journee a toi aussi!
bon courage 60|Merci, bon courage a toi egalement!
felicitations 60|Merci beaucoup!
bravo 60|Merci, c est gentil.
super 60|Content que ca te plaise!
genial 60|Oui, c est une bonne nouvelle!
s il te plait 61|Bien sur.
merci beaucoup 61|Avec grand plaisir!
excuse-moi 61|Il n y a pas de mal.
pardon 61|Ce n est pas grave.
bonne journee 61|Bonne journee a toi aussi!
bon courage 61|Merci, bon courage a toi egalement!
felicitations 61|Merci beaucoup!
bravo 61|Merci, c est gentil.
super 61|Content que ca te plaise!
genial 61|Oui, c est une bonne nouvelle!
s il te plait 62|Bien sur.
merci beaucoup 62|Avec grand plaisir!
excuse-moi 62|Il n y a pas de mal.
pardon 62|Ce n est pas grave.
bonne journee 62|Bonne journee a toi aussi!
bon courage 62|Merci, bon courage a toi egalement!
felicitations 62|Merci beaucoup!
bravo 62|Merci, c est gentil.
super 62|Content que ca te plaise!
genial 62|Oui, c est une bonne nouvelle!
s il te plait 63|Bien sur.
merci beaucoup 63|Avec grand plaisir!
excuse-moi 63|Il n y a pas de mal.
pardon 63|Ce n est pas grave.
bonne journee 63|Bonne journee a toi aussi!
bon courage 63|Merci, bon courage a toi egalement!
felicitations 63|Merci beaucoup!
bravo 63|Merci, c est gentil.
super 63|Content que ca te plaise!
genial 63|Oui, c est une bonne nouvelle!
s il te plait 64|Bien sur.
merci beaucoup 64|Avec grand plaisir!
excuse-moi 64|Il n y a pas de mal.
pardon 64|Ce n est pas grave.
bonne journee 64|Bonne journee a toi aussi!
bon courage 64|Merci, bon courage a toi egalement!
felicitations 64|Merci beaucoup!
bravo 64|Merci, c est gentil.
super 64|Content que ca te plaise!
genial 64|Oui, c est une bonne nouvelle!
s il te plait 65|Bien sur.
merci beaucoup 65|Avec grand plaisir!
excuse-moi 65|Il n y a pas de mal.
pardon 65|Ce n est pas grave.
bonne journee 65|Bonne journee a toi aussi!
bon courage 65|Merci, bon courage a toi egalement!
felicitations 65|Merci beaucoup!
bravo 65|Merci, c est gentil.
super 65|Content que ca te plaise!
genial 65|Oui, c est une bonne nouvelle!
s il te plait 66|Bien sur.
merci beaucoup 66|Avec grand plaisir!
excuse-moi 66|Il n y a pas de mal.
pardon 66|Ce n est pas grave.
bonne journee 66|Bonne journee a toi aussi!
bon courage 66|Merci, bon courage a toi egalement!
felicitations 66|Merci beaucoup!
bravo 66|Merci, c est gentil.
super 66|Content que ca te plaise!
genial 66|Oui, c est une bonne nouvelle!
s il te plait 67|Bien sur.
merci beaucoup 67|Avec grand plaisir!
excuse-moi 67|Il n y a pas de mal.
pardon 67|Ce n est pas grave.
bonne journee 67|Bonne journee a toi aussi!
bon courage 67|Merci, bon courage a toi egalement!
felicitations 67|Merci beaucoup!
bravo 67|Merci, c est gentil.
super 67|Content que ca te plaise!
genial 67|Oui, c est une bonne nouvelle!
s il te plait 68|Bien sur.
merci beaucoup 68|Avec grand plaisir!
excuse-moi 68|Il n y a pas de mal.
pardon 68|Ce n est pas grave.
bonne journee 68|Bonne journee a toi aussi!
bon courage 68|Merci, bon courage a toi egalement!
felicitations 68|Merci beaucoup!
bravo 68|Merci, c est gentil.
super 68|Content que ca te plaise!
genial 68|Oui, c est une bonne nouvelle!
s il te plait 69|Bien sur.
merci beaucoup 69|Avec grand plaisir!
excuse-moi 69|Il n y a pas de mal.
pardon 69|Ce n est pas grave.
bonne journee 69|Bonne journee a toi aussi!
bon courage 69|Merci, bon courage a toi egalement!
felicitations 69|Merci beaucoup!
bravo 69|Merci, c est gentil.
super 69|Content que ca te plaise!
genial 69|Oui, c est une bonne nouvelle!
s il te plait 70|Bien sur.
merci beaucoup 70|Avec grand plaisir!
excuse-moi 70|Il n y a pas de mal.
pardon 70|Ce n est pas grave.
bonne journee 70|Bonne journee a toi aussi!
bon courage 70|Merci, bon courage a toi egalement!
felicitations 70|Merci beaucoup!
bravo 70|Merci, c est gentil.
super 70|Content que ca te plaise!
genial 70|Oui, c est une bonne nouvelle!
s il te plait 71|Bien sur.
merci beaucoup 71|Avec grand plaisir!
excuse-moi 71|Il n y a pas de mal.
pardon 71|Ce n est pas grave.
bonne journee 71|Bonne journee a toi aussi!
bon courage 71|Merci, bon courage a toi egalement!
felicitations 71|Merci beaucoup!
bravo 71|Merci, c est gentil.
super 71|Content que ca te plaise!
genial 71|Oui, c est une bonne nouvelle!
s il te plait 72|Bien sur.
merci beaucoup 72|Avec grand plaisir!
excuse-moi 72|Il n y a pas de mal.
pardon 72|Ce n est pas grave.
bonne journee 72|Bonne journee a toi aussi!
bon courage 72|Merci, bon courage a toi egalement!
felicitations 72|Merci beaucoup!
bravo 72|Merci, c est gentil.
super 72|Content que ca te plaise!
genial 72|Oui, c est une bonne nouvelle!
s il te plait 73|Bien sur.
merci beaucoup 73|Avec grand plaisir!
excuse-moi 73|Il n y a pas de mal.
pardon 73|Ce n est pas grave.
bonne journee 73|Bonne journee a toi aussi!
bon courage 73|Merci, bon courage a toi egalement!
felicitations 73|Merci beaucoup!
bravo 73|Merci, c est gentil.
super 73|Content que ca te plaise!
genial 73|Oui, c est une bonne nouvelle!
s il te plait 74|Bien sur.
merci beaucoup 74|Avec grand plaisir!
excuse-moi 74|Il n y a pas de mal.
pardon 74|Ce n est pas grave.
bonne journee 74|Bonne journee a toi aussi!
bon courage 74|Merci, bon courage a toi egalement!
felicitations 74|Merci beaucoup!
bravo 74|Merci, c est gentil.
super 74|Content que ca te plaise!
genial 74|Oui, c est une bonne nouvelle!
s il te plait 75|Bien sur.
merci beaucoup 75|Avec grand plaisir!
excuse-moi 75|Il n y a pas de mal.
pardon 75|Ce n est pas grave.
bonne journee 75|Bonne journee a toi aussi!
bon courage 75|Merci, bon courage a toi egalement!
felicitations 75|Merci beaucoup!
bravo 75|Merci, c est gentil.
super 75|Content que ca te plaise!
genial 75|Oui, c est une bonne nouvelle!
s il te plait 76|Bien sur.
merci beaucoup 76|Avec grand plaisir!
excuse-moi 76|Il n y a pas de mal.
pardon 76|Ce n est pas grave.
bonne journee 76|Bonne journee a toi aussi!
bon courage 76|Merci, bon courage a toi egalement!
felicitations 76|Merci beaucoup!
bravo 76|Merci, c est gentil.
super 76|Content que ca te plaise!
genial 76|Oui, c est une bonne nouvelle!
s il te plait 77|Bien sur.
merci beaucoup 77|Avec grand plaisir!
excuse-moi 77|Il n y a pas de mal.
pardon 77|Ce n est pas grave.
bonne journee 77|Bonne journee a toi aussi!
bon courage 77|Merci, bon courage a toi egalement!
felicitations 77|Merci beaucoup!
bravo 77|Merci, c est gentil.
super 77|Content que ca te plaise!
genial 77|Oui, c est une bonne nouvelle!
s il te plait 78|Bien sur.
merci beaucoup 78|Avec grand plaisir!
excuse-moi 78|Il n y a pas de mal.
pardon 78|Ce n est pas grave.
bonne journee 78|Bonne journee a toi aussi!
bon courage 78|Merci, bon courage a toi egalement!
felicitations 78|Merci beaucoup!
bravo 78|Merci, c est gentil.
super 78|Content que ca te plaise!
genial 78|Oui, c est une bonne nouvelle!
s il te plait 79|Bien sur.
merci beaucoup 79|Avec grand plaisir!
excuse-moi 79|Il n y a pas de mal.
pardon 79|Ce n est pas grave.
bonne journee 79|Bonne journee a toi aussi!
bon courage 79|Merci, bon courage a toi egalement!
felicitations 79|Merci beaucoup!
bravo 79|Merci, c est gentil.
super 79|Content que ca te plaise!
genial 79|Oui, c est une bonne nouvelle!
s il te plait 80|Bien sur.
merci beaucoup 80|Avec grand plaisir!
excuse-moi 80|Il n y a pas de mal.
pardon 80|Ce n est pas grave.
bonne journee 80|Bonne journee a toi aussi!
bon courage 80|Merci, bon courage a toi egalement!
felicitations 80|Merci beaucoup!
bravo 80|Merci, c est gentil.
super 80|Content que ca te plaise!
genial 80|Oui, c est une bonne nouvelle!

# === HUMEUR ===
je suis content 1|C est super a entendre!
je suis triste 1|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 1|Alors prends un moment pour souffler un peu.
je suis stresse 1|Respire calmement, une chose a la fois.
je suis en colere 1|Je comprends, prends quelques secondes pour te poser.
je m ennuie 1|On peut discuter ou trouver une idee a faire.
je suis motive 1|Parfait, c est le bon moment pour avancer.
j ai peur 1|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 1|Tant mieux, gardons ce rythme.
je suis confus 1|Pas de souci, clarifions ensemble.
je suis content 2|C est super a entendre!
je suis triste 2|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 2|Alors prends un moment pour souffler un peu.
je suis stresse 2|Respire calmement, une chose a la fois.
je suis en colere 2|Je comprends, prends quelques secondes pour te poser.
je m ennuie 2|On peut discuter ou trouver une idee a faire.
je suis motive 2|Parfait, c est le bon moment pour avancer.
j ai peur 2|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 2|Tant mieux, gardons ce rythme.
je suis confus 2|Pas de souci, clarifions ensemble.
je suis content 3|C est super a entendre!
je suis triste 3|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 3|Alors prends un moment pour souffler un peu.
je suis stresse 3|Respire calmement, une chose a la fois.
je suis en colere 3|Je comprends, prends quelques secondes pour te poser.
je m ennuie 3|On peut discuter ou trouver une idee a faire.
je suis motive 3|Parfait, c est le bon moment pour avancer.
j ai peur 3|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 3|Tant mieux, gardons ce rythme.
je suis confus 3|Pas de souci, clarifions ensemble.
je suis content 4|C est super a entendre!
je suis triste 4|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 4|Alors prends un moment pour souffler un peu.
je suis stresse 4|Respire calmement, une chose a la fois.
je suis en colere 4|Je comprends, prends quelques secondes pour te poser.
je m ennuie 4|On peut discuter ou trouver une idee a faire.
je suis motive 4|Parfait, c est le bon moment pour avancer.
j ai peur 4|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 4|Tant mieux, gardons ce rythme.
je suis confus 4|Pas de souci, clarifions ensemble.
je suis content 5|C est super a entendre!
je suis triste 5|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 5|Alors prends un moment pour souffler un peu.
je suis stresse 5|Respire calmement, une chose a la fois.
je suis en colere 5|Je comprends, prends quelques secondes pour te poser.
je m ennuie 5|On peut discuter ou trouver une idee a faire.
je suis motive 5|Parfait, c est le bon moment pour avancer.
j ai peur 5|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 5|Tant mieux, gardons ce rythme.
je suis confus 5|Pas de souci, clarifions ensemble.
je suis content 6|C est super a entendre!
je suis triste 6|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 6|Alors prends un moment pour souffler un peu.
je suis stresse 6|Respire calmement, une chose a la fois.
je suis en colere 6|Je comprends, prends quelques secondes pour te poser.
je m ennuie 6|On peut discuter ou trouver une idee a faire.
je suis motive 6|Parfait, c est le bon moment pour avancer.
j ai peur 6|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 6|Tant mieux, gardons ce rythme.
je suis confus 6|Pas de souci, clarifions ensemble.
je suis content 7|C est super a entendre!
je suis triste 7|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 7|Alors prends un moment pour souffler un peu.
je suis stresse 7|Respire calmement, une chose a la fois.
je suis en colere 7|Je comprends, prends quelques secondes pour te poser.
je m ennuie 7|On peut discuter ou trouver une idee a faire.
je suis motive 7|Parfait, c est le bon moment pour avancer.
j ai peur 7|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 7|Tant mieux, gardons ce rythme.
je suis confus 7|Pas de souci, clarifions ensemble.
je suis content 8|C est super a entendre!
je suis triste 8|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 8|Alors prends un moment pour souffler un peu.
je suis stresse 8|Respire calmement, une chose a la fois.
je suis en colere 8|Je comprends, prends quelques secondes pour te poser.
je m ennuie 8|On peut discuter ou trouver une idee a faire.
je suis motive 8|Parfait, c est le bon moment pour avancer.
j ai peur 8|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 8|Tant mieux, gardons ce rythme.
je suis confus 8|Pas de souci, clarifions ensemble.
je suis content 9|C est super a entendre!
je suis triste 9|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 9|Alors prends un moment pour souffler un peu.
je suis stresse 9|Respire calmement, une chose a la fois.
je suis en colere 9|Je comprends, prends quelques secondes pour te poser.
je m ennuie 9|On peut discuter ou trouver une idee a faire.
je suis motive 9|Parfait, c est le bon moment pour avancer.
j ai peur 9|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 9|Tant mieux, gardons ce rythme.
je suis confus 9|Pas de souci, clarifions ensemble.
je suis content 10|C est super a entendre!
